,start_dates,end_dates,glacier_area,region,combined_gt,combined_mwe,altimetry_gt,altimetry_gt_errors,altimetry_mwe,altimetry_mwe_errors,altimetry_annual_variability,gravimetry_gt,gravimetry_gt_errors,gravimetry_mwe,gravimetry_mwe_errors,gravimetry_annual_variability,demdiff_and_glaciological_mwe,demdiff_and_glaciological_mwe_errors,demdiff_and_glaciological_gt,demdiff_and_glaciological_gt_errors
0,2000.0,2001.0,2354.92895,low_latitudes,0.3705258618555617,0.1578140114198291,,,,,,,,,,,0.1578140114198291,0.1568197042719303,0.37052586185556163,0.36648215020087366
1,2001.0,2002.0,2327.07105,low_latitudes,-0.3070070498935514,-0.1323255009428327,,,,,,,,,,,-0.1323255009428327,0.1457839771661632,-0.3070070498935513,0.3406025320908586
2,2002.0,2003.0,2299.21315,low_latitudes,-1.2859863528499786,-0.5609988445881209,,,,,,,,,,,-0.5609988445881209,0.1484538626711339,-1.2859863528499786,0.35240355817349
3,2003.0,2004.0,2271.35525,low_latitudes,-1.5816633780124076,-0.6984476100558282,,,,,,,,,,,-0.6984476100558282,0.1224388826495657,-1.5816633780124076,0.29651032918704895
4,2004.0,2005.0,2243.49735,low_latitudes,-2.4619022051780592,-1.100652129401808,,,,,,,,,,,-1.100652129401808,0.1212526319604412,-2.461902205178059,0.3086128474953163
5,2005.0,2006.0,2215.63945,low_latitudes,-2.7695048944302068,-1.2537411760109185,,,,,,,,,,,-1.2537411760109185,0.2194579277857189,-2.769504894430207,0.5305979904408097
6,2006.0,2007.0,2187.78155,low_latitudes,-0.6472329547886849,-0.2967300351707955,,,,,,,,,,,-0.2967300351707955,0.0990187220513644,-0.6472329547886849,0.23336219862748728
7,2007.0,2008.0,2159.92365,low_latitudes,0.2943631715954311,0.1366941458094977,,,,,,,,,,,0.1366941458094977,0.1657502881771111,0.2943631715954311,0.38713723851882464
8,2008.0,2009.0,2132.06575,low_latitudes,1.0742074293211157,0.5053501509354559,,,,,,,,,,,0.5053501509354559,0.4116647614966691,1.0742074293211155,0.9623161399881776
9,2009.0,2010.0,2104.2078500000002,low_latitudes,-1.8409386137271275,-0.8775169467553976,,,,,,,,,,,-0.8775169467553976,0.1052828102934642,-1.8409386137271275,0.2624018277708601
10,2010.0,2011.0,2076.34995,low_latitudes,-1.8410246444614369,-0.8893319440077325,,,,,,,,,,,-0.8893319440077325,0.1017510858381041,-1.8410246444614369,0.25470062675984667
11,2011.0,2012.0,2048.49205,low_latitudes,-0.1241596044782536,-0.0607926225979374,,,,,,,,,,,-0.0607926225979374,0.0936893260184191,-0.12415960447825354,0.2187568362466684
12,2012.0,2013.0,2020.6341499999999,low_latitudes,-0.0184015312558621,-0.0091342126241642,,,,,,,,,,,-0.0091342126241642,0.0919203203223783,-0.018401531255862053,0.21454188637764507
13,2013.0,2014.0,1992.77625,low_latitudes,-0.5516197398382917,-0.2776425996516236,,,,,,,,,,,-0.2776425996516236,0.1037200127476763,-0.5516197398382917,0.24364625458365158
14,2014.0,2015.0,1964.91835,low_latitudes,-0.2397954780922521,-0.1224056099734584,,,,,,,,,,,-0.1224056099734584,0.1024003665884477,-0.23979547809225207,0.23930065330834013
15,2015.0,2016.0,1937.06045,low_latitudes,-1.6897583338338864,-0.8749561029038354,,,,,,,,,,,-0.8749561029038354,0.3106638075255704,-1.6897583338338864,0.7299879300313863
16,2016.0,2017.0,1909.20255,low_latitudes,-2.36942463411635,-1.244788981141562,,,,,,,,,,,-1.244788981141562,0.1747744910046064,-2.36942463411635,0.4247750783973806
17,2017.0,2018.0,1881.34465,low_latitudes,-0.645752244686762,-0.3442725556313131,,,,,,,,,,,-0.3442725556313131,0.1216414848249877,-0.645752244686762,0.28573849109842403
18,2018.0,2019.0,1853.48675,low_latitudes,-0.1008118792306184,-0.0545540586709532,,,,,,,,,,,-0.0545540586709532,0.1410452089414529,-0.10081187923061836,0.3292348617006764
19,2019.0,2020.0,1825.62885,low_latitudes,-0.9009579941945178,-0.4949905350137911,,,,,,,,,,,-0.4949905350137911,0.1634465938036229,-0.9009579941945178,0.3841311681224742
20,2020.0,2021.0,1797.77095,low_latitudes,-0.5626949301551217,-0.3139377096055741,,,,,,,,,,,-0.3139377096055741,0.4195252875792656,-0.5626949301551217,0.9795664933801864
21,2021.0,2022.0,1769.91305,low_latitudes,0.0949249570660992,0.0537939357148629,,,,,,,,,,,0.0537939357148629,,0.09492495706609914,
22,2022.0,2023.0,1742.0551500000001,low_latitudes,0.0057083128047792,0.0032866291704927,,,,,,,,,,,0.0032866291704927,,0.005708312804779245,
23,2023.0,2024.0,1714.1972500000002,low_latitudes,-2.3020962323277,-1.3469997704373884,,,,,,,,,,,-1.3469997704373884,,-2.3020962323277,
