,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,altimetry_gt,altimetry_gt_errors,altimetry_mwe,altimetry_mwe_errors,altimetry_annual_variability,gravimetry_gt,gravimetry_gt_errors,gravimetry_mwe,gravimetry_mwe_errors,gravimetry_annual_variability,demdiff_and_glaciological_mwe,demdiff_and_glaciological_mwe_errors,demdiff_and_glaciological_gt,demdiff_and_glaciological_gt_errors
0,1999.75,2000.75,2490.31325,north_asia,0.110715415118517,1.015854988242676,0.0445922057399484,0.4227786699918307,,,,,,,,,,,0.0445922057399485,0.4227786699918307,0.11071541511851705,1.0158549882426757
1,2000.75,2001.75,2479.95025,north_asia,-1.411522328547249,0.5743725203030643,-0.5708863060699011,0.2372345264187421,,,,,,,,,,,-0.5708863060699011,0.2372345264187421,-1.411522328547249,0.5743725203030642
2,2001.75,2002.75,2469.58725,north_asia,-2.0103556956848494,0.597000034320231,-0.8164947038887158,0.2449160888974001,,,,,,,,,,,-0.8164947038887158,0.2449160888974001,-2.0103556956848494,0.597000034320231
3,2002.75,2003.75,2459.22425,north_asia,-1.6516009807048195,0.5612510099110717,-0.6736151421665466,0.2310427268167482,,,,,,,,,,,-0.6736151421665466,0.2310427268167482,-1.6516009807048195,0.5612510099110717
4,2003.75,2004.75,2448.86125,north_asia,-0.4913317134242567,0.5754980158724089,-0.2012405332706474,0.2392960763711866,,,,,,,,,,,-0.2012405332706473,0.2392960763711866,-0.49133171342425647,0.575498015872409
5,2004.75,2005.75,2438.49825,north_asia,-0.3809912127828925,0.5404182210996115,-0.1567102316599457,0.2247748937418027,,,,,,,,,,,-0.1567102316599456,0.2247748937418027,-0.38099121278289233,0.5404182210996114
6,2005.75,2006.75,2428.13525,north_asia,-1.389043756207631,0.5518711616967915,-0.5737832876019128,0.2278551383696418,,,,,,,,,,,-0.5737832876019128,0.2278551383696418,-1.389043756207631,0.5518711616967914
7,2006.75,2007.75,2417.77225,north_asia,-1.5276258957317252,0.5527310640659939,-0.6337332076757815,0.2278320863501645,,,,,,,,,,,-0.6337332076757815,0.2278320863501645,-1.5276258957317252,0.5527310640659939
8,2007.75,2008.75,2407.40925,north_asia,-1.949757192837124,0.5479612401933969,-0.812335528341191,0.224415766413779,,,,,,,,,,,-0.812335528341191,0.224415766413779,-1.9497571928371236,0.5479612401933969
9,2008.75,2009.75,2397.04625,north_asia,0.2062488058000925,0.5382402181599492,0.0863018033307531,0.223967095575168,,,,,,,,,,,0.086301803330753,0.223967095575168,0.20624880580009233,0.5382402181599492
10,2009.75,2010.75,2386.68325,north_asia,-0.7329286253120425,0.5399814527660028,-0.3080149103967714,0.2242147573640339,,,,,,,,,,,-0.3080149103967714,0.2242147573640339,-0.7329286253120425,0.5399814527660025
11,2010.75,2011.75,2376.32025,north_asia,-2.040760556994902,0.5492129810051983,-0.8613743289765905,0.2245953387809722,,,,,,,,,,,-0.8613743289765905,0.2245953387809722,-2.040760556994902,0.5492129810051982
12,2011.75,2012.75,2365.95725,north_asia,-2.252898918427129,0.5512435112413491,-0.9550797894949208,0.2245789057192449,,,,,,,,,,,-0.9550797894949208,0.2245789057192449,-2.252898918427129,0.5512435112413491
13,2012.75,2013.75,2355.59425,north_asia,-0.7808275138454785,0.5622211558177165,-0.3324753594471628,0.2334239130325807,,,,,,,,,,,-0.3324753594471628,0.2334239130325807,-0.7808275138454785,0.5622211558177164
14,2013.75,2014.75,2345.23125,north_asia,-0.7752279535569124,0.5663353522205637,-0.3315496650760143,0.2351483213165703,,,,,,,,,,,-0.3315496650760143,0.2351483213165703,-0.7752279535569123,0.5663353522205637
15,2014.75,2015.75,2334.86825,north_asia,-2.4098848653821547,0.5803329526619917,-1.0352345466193946,0.2362631751296457,,,,,,,,,,,-1.0352345466193946,0.2362631751296457,-2.4098848653821547,0.5803329526619916
16,2015.75,2016.75,2324.50525,north_asia,-0.578731658020693,0.5642403673077614,-0.2497189788031024,0.2345201100749425,,,,,,,,,,,-0.2497189788031024,0.2345201100749425,-0.5787316580206929,0.5642403673077613
17,2016.75,2017.75,2314.14225,north_asia,-2.3838791820666123,0.5813089288288221,-1.0332348147931978,0.2367924127890443,,,,,,,,,,,-1.0332348147931978,0.2367924127890443,-2.3838791820666123,0.581308928828822
18,2017.75,2018.75,2303.77925,north_asia,-1.5694730336422125,0.576132515178733,-0.683310096010164,0.2375438095083282,,,,,,,,,,,-0.683310096010164,0.2375438095083282,-1.5694730336422125,0.5761325151787329
19,2018.75,2019.75,2293.41625,north_asia,-0.849765407493315,0.5471200635561917,-0.3716387614403475,0.2270162316093072,,,,,,,,,,,-0.3716387614403475,0.2270162316093072,-0.849765407493315,0.5471200635561917
