start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,hydrological_correction_value,remarks
2002.2849315068493,2002.3698630136987,-26.1747,90.0865,51591,349345,-7.7809,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2002.3698630136987,2002.6219178082192,13.5706,90.0865,51591,349345,-10.5448,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2002.6219178082192,2002.704109589041,-6.1298,90.0865,51591,349345,1.2759,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2002.704109589041,2002.7890410958903,-8.6266,90.0865,51591,349345,3.0653,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2002.7890410958903,2002.8712328767124,45.0756,90.0865,51591,349345,3.3875,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2002.8712328767124,2002.9561643835616,-6.1975,90.0865,51591,349345,3.1923,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2002.9561643835616,2003.041095890411,79.4308,90.0865,51591,349345,3.26,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.041095890411,2003.1178082191784,-121.1179,90.0865,51591,349345,2.7492,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.1178082191784,2003.2027397260276,14.7206,90.0865,51591,349345,1.2677,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.2027397260276,2003.2849315068493,14.8337,90.0865,51591,349345,-1.8765,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.2849315068493,2003.3698630136987,4.4016,90.0865,51591,349345,-6.9093,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.3698630136987,2003.5369863013696,-23.2447,90.0865,51591,349345,-8.5861,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.5369863013696,2003.6219178082192,-11.4006,90.0865,51591,349345,-1.3061,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.6219178082192,2003.704109589041,-21.7632,90.0865,51591,349345,0.7703,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.704109589041,2003.7890410958903,28.829,90.0865,51591,349345,2.2699,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.7890410958903,2003.8712328767124,32.6741,90.0865,51591,349345,3.1892,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.8712328767124,2003.9561643835616,-42.0375,90.0865,51591,349345,3.59,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2003.9561643835616,2004.0409836065571,-1.1697,90.0865,51591,349345,4.423,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
2004.0409836065571,2004.120218579235,-16.7519,90.0865,51591,349345,1.8856,corrected_for_sea_level_response/resampled_and_interpolated/differentiated
