start_dates,end_dates,changes,errors
1999.75,2000.75,0.25528938581984867,
2000.75,2001.75,-0.235763097521153,0.13187840192348177
2001.75,2002.75,-0.551273783582064,0.1110047843126612
2002.75,2003.75,-0.7273235067655925,0.17706095010038547
2003.75,2004.75,-1.833773634161669,0.1229675856510618
2004.75,2005.75,-1.2182434696756597,0.12399940254973878
2005.75,2006.75,-0.43038354458542827,0.1284892112359524
2006.75,2007.75,-0.4443548225774259,0.11767250520478238
2007.75,2008.75,0.7304025214790832,0.11616229369489835
2008.75,2009.75,-1.0377595243187558,0.12369300333926186
2009.75,2010.75,-0.7561014493426157,0.15516709818381644
2010.75,2011.75,-1.1147597118014247,0.12932191233529827
2011.75,2012.75,0.5236022232162247,0.15859556592114157
2012.75,2013.75,-1.4500911064172461,0.11450026778207119
2013.75,2014.75,-1.1392671951836708,0.14033647176787115
2014.75,2015.75,-1.184528507860096,0.13654972903749724
2015.75,2016.75,-0.9616710444601911,0.142226284297072
2016.75,2017.75,-1.229096722332925,0.13597062780712474
2017.75,2018.75,-1.4718291655252407,0.15361267915424423
2018.75,2019.75,-2.026451369272916,0.15406880719803642
2019.75,2020.75,-0.9091139406893567,0.1645881085547563
2020.75,2021.75,-0.6544975101661452,0.1381081857061148
2021.75,2022.75,-1.1360124261185371,
2022.75,2023.75,-1.3523192642889026,
2023.75,2024.75,-1.3272605588176871,
