start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,hydrological_correction_value
2002.290410958904,2002.372602739726,-4.949831418,19.10523617,51591,51276.254,0
2002.372602739726,2002.6246575342464,-12.40817868,16.1474216,51591,51276.254,0
2002.6246575342464,2002.7068493150684,0.3110199684,28.44861548,51591,51276.254,0
2002.7068493150684,2002.7890410958903,-21.43514463,33.42203274,51591,51276.254,0
2002.7890410958903,2002.87397260274,37.27552971,17.17142503,51591,51276.254,0
2002.87397260274,2002.9561643835616,-35.62703667,45.48833313,51591,51276.254,0
2002.9561643835616,2003.041095890411,49.69093683,109.1516971,51591,51276.254,0
2003.041095890411,2003.123287671233,19.45645966,16.98155594,51591,51276.254,0
2003.123287671233,2003.208219178082,-13.36530481,55.87217726,51591,51276.254,0
2003.208219178082,2003.290410958904,-28.10470642,113.9564092,51591,51276.254,0
2003.290410958904,2003.372602739726,-24.25934504,20.12005866,51591,51276.254,0
2003.372602739726,2003.539726027397,-8.333923208,28.71987012,51591,51276.254,0
2003.539726027397,2003.6246575342464,-7.620964994,30.4466793,51591,51276.254,0
2003.6246575342464,2003.7068493150684,-8.017407368,78.51600418,51591,51276.254,0
2003.7068493150684,2003.7890410958903,16.50237168,42.07055416,51591,51276.254,0
2003.7890410958903,2003.87397260274,21.45568424,46.28168656,51591,51276.254,0
2003.87397260274,2003.9561643835616,2.467041457,149.703294,51591,51276.254,0
2003.9561643835616,2004.040983606557,11.12420366,21.43029568,51591,51276.254,0
2004.040983606557,2004.122950819672,-22.5466414,65.72961904,51591,51276.254,0
2004.122950819672,2004.207650273224,17.12183258,47.6869985,51591,51276.254,0
2004.207650273224,2004.2896174863388,-1.109058513,11.5030777,51591,51276.254,0
2004.2896174863388,2004.3743169398904,-16.86281721,15.37164789,51591,51276.254,0
2004.3743169398904,2004.4562841530053,-6.687262987,37.15369441,51591,51276.254,0
2004.4562841530053,2004.8743169398904,-20.7287849,64.38854301,51591,51276.254,0
2004.8743169398904,2004.9562841530053,-15.02834388,24.21014037,51591,51276.254,0
2004.9562841530053,2005.041095890411,12.65874512,48.20691688,51591,51276.254,0
2005.041095890411,2005.123287671233,-15.03539771,32.96601722,51591,51276.254,0
2005.123287671233,2005.208219178082,17.67223314,12.47906774,51591,51276.254,0
2005.208219178082,2005.290410958904,-0.1122597683,16.10822983,51591,51276.254,0
2005.290410958904,2005.372602739726,-19.31457979,19.32638773,51591,51276.254,0
2005.372602739726,2005.4575342465755,14.70307423,15.33119522,51591,51276.254,0
2005.4575342465755,2005.539726027397,-24.59287887,15.86125882,51591,51276.254,0
2005.539726027397,2005.6246575342464,-25.56076928,17.61252638,51591,51276.254,0
2005.6246575342464,2005.7068493150684,16.7799631,106.1148996,51591,51276.254,0
2005.7068493150684,2005.7890410958903,30.45498267,41.31034946,51591,51276.254,0
2005.7890410958903,2005.87397260274,13.3346855,27.16099385,51591,51276.254,0
2005.87397260274,2005.9561643835616,-29.24553075,69.65403227,51591,51276.254,0
2005.9561643835616,2006.041095890411,45.14886748,49.05303222,51591,51276.254,0
2006.041095890411,2006.123287671233,-45.15213338,149.5340111,51591,51276.254,0
2006.123287671233,2006.208219178082,8.99064793,29.51006153,51591,51276.254,0
2006.208219178082,2006.290410958904,-17.00552761,151.8307707,51591,51276.254,0
2006.290410958904,2006.372602739726,16.04853364,118.9524653,51591,51276.254,0
2006.372602739726,2006.4575342465755,-16.18699833,12.17925413,51591,51276.254,0
2006.4575342465755,2006.539726027397,7.794381914,16.73032086,51591,51276.254,0
2006.539726027397,2006.6246575342464,-14.99994347,16.64080102,51591,51276.254,0
2006.6246575342464,2006.7068493150684,6.398147194,66.28694703,51591,51276.254,0
2006.7068493150684,2006.7890410958903,3.944271999,59.36231831,51591,51276.254,0
2006.7890410958903,2006.87397260274,20.0434774,14.699099,51591,51276.254,0
2006.87397260274,2006.9561643835616,7.341203158,35.59989825,51591,51276.254,0
2006.9561643835616,2007.041095890411,1.264811245,52.04228449,51591,51276.254,0
2007.041095890411,2007.123287671233,-34.23216632,79.09199493,51591,51276.254,0
2007.123287671233,2007.208219178082,-7.538642318,67.5010459,51591,51276.254,0
2007.208219178082,2007.290410958904,13.27867167,20.87918149,51591,51276.254,0
2007.290410958904,2007.372602739726,6.79103414,71.86453986,51591,51276.254,0
